,pipe-dia,pipe-mat,pipe-bd,先前失效,pipe-pre,pipe-len,pipe-age,a7
0,200,2,1.4,0,0.25,5.477,6,0
1,200,2,1.3,0,0.32,2.773,22,0
2,200,2,0.4,0,0.19,11.464,15,0
3,200,2,1.2,0,0.24,10.287,16,0
4,200,2,0.8,0,0.17,13.247,16,0
5,200,2,0.8,0,0.29,5.122,15,0
6,200,1,0.8,0,0.26,11.511,15,0
7,200,1,0.8,0,0.23,3.566,21,0
8,200,1,1.2,1,0.34,6.861,26,0
9,200,1,1.2,0,0.26,3.524,29,0
10,200,1,1.3,0,0.22,3.327,30,0
11,200,0,1.2,0,0.22,4.541,26,0
12,200,0,1.2,0,0.29,3.13,29,0
13,200,0,1.6,0,0.3,9.585,27,0
14,200,0,1.7,0,0.29,2.495,26,0
15,200,0,1.3,1,0.26,0.74,26,0
16,200,0,1.2,1,0.23,6.861,26,0
17,200,0,1.2,0,0.25,1.403,26,0
18,100,0,1.4,0,0.25,63.515,26,0
19,300,0,1.0,0,0.32,4.198,26,0
20,100,0,1.4,0,0.19,1.753,26,0
21,100,0,1.2,0,0.35,128.076,27,0
22,200,0,0.8,0,0.24,33.741,18,0
23,200,0,0.8,0,0.17,1.007,18,0
24,200,0,0.8,0,0.29,48.047,25,0
25,100,0,0.8,0,0.26,78.826,25,0
26,300,0,1.3,0,0.23,8.597,22,0
27,300,0,1.4,0,0.25,10.03,29,0
28,100,0,1.4,0,0.34,27.322,18,0
29,100,0,1.4,1,0.26,64.647,22,0
30,100,1,1.4,0,0.22,61.644,20,0
31,150,1,0.8,0,0.29,50.336,20,0
32,200,1,0.8,0,0.3,4.57,20,0
33,200,1,1.3,0,0.29,1.737,20,0
34,200,1,0.8,0,0.26,8.148,20,0
35,200,1,0.801,0,0.23,2.253,20,0
36,200,1,0.802,0,0.25,5.802,20,0
37,200,1,0.803,0,0.32,2.352,20,0
38,200,1,0.805,1,0.35,1.215,20,0
39,200,1,0.806,0,0.24,5.843,20,0
40,200,1,0.807,0,0.17,0.143,20,0
41,200,6,1.7,0,0.29,5.294,16,0
42,200,6,1.9,0,0.26,3.401,14,0
43,200,6,1.9,0,0.23,2.088,14,0
44,200,6,1.8,0,0.25,1.654,14,0
45,400,5,0.5,0,0.29,3.318,7,0
46,600,5,0.8,0,0.25,0.865,25,0
47,600,3,1.1,0,0.34,4.077,40,0
48,600,3,1.2,0,0.26,2.487,29,0
49,600,2,1.201,0,0.22,3.524,27,0
50,600,2,1.202,0,0.22,1.151,26,0
51,600,4,0.8,0,0.31,2.263,26,0
52,600,2,0.4,0,0.29,6.309,14,0
53,500,2,0.5,0,0.29,1.331,14,0
54,500,2,0.4,0,0.26,1.281,23,0
55,500,2,0.3,0,0.23,4.809,18,0
56,500,2,0.4,0,0.25,1.436,18,0
57,500,0,1.1,0,0.19,1.005,25,0
58,500,0,1.2,1,0.24,1.427,29,0
59,600,0,1.1,0,0.17,1.436,29,0
60,50,2,1.2,0,0.26,2.132,26,0
61,50,2,1.1,1,0.23,1.143,26,0
62,50,2,1.1,0,0.25,1.124,14,0
63,50,2,1.2,0,0.34,0.937,23,0
64,50,2,1.1,0,0.26,0.667,18,0
65,50,2,0.5,0,0.22,0.951,18,0
66,50,2,1.4,0,0.22,1.291,18,0
67,50,2,0.4,0,0.31,0.325,18,0
68,100,1,1.803,0,0.3,2.352,20,0
69,200,1,0.806,0,0.23,5.843,20,0
70,200,1,0.807,0,0.31,0.143,20,0
71,200,6,0.808,0,0.23,25.714,24,0
72,200,6,0.5,1,0.25,14.2,22,0
73,200,6,1.3,0,0.19,5.843,37,0
74,100,6,1.2,0,0.35,13.3,27,0
75,200,6,1.1,0,0.24,6.679,24,0
76,200,6,1.2,0,0.17,2.122,25,0
77,200,5,0.9,0,0.26,0.65,36,0
78,100,6,1.7,0,0.34,5.294,16,0
79,300,6,1.9,0,0.26,3.401,14,0
80,400,6,1.9,0,0.22,2.088,14,0
81,100,3,1.1,0,0.22,4.077,40,0
82,200,3,1.2,0,0.31,2.487,29,0
83,200,2,1.201,0,0.29,3.524,27,0
84,200,2,1.202,0,0.3,1.151,26,0
85,150,4,1.1,0,0.25,4.077,24,0
86,150,4,1.201,0,0.26,3.524,21,0
87,150,4,1.202,0,0.22,1.151,21,0
88,200,4,0.8,0,0.22,2.263,21,0
89,200,3,1.1,0,0.31,4.077,40,0
90,200,3,1.2,0,0.29,2.487,29,0
91,600,2,1.201,0,0.3,3.524,27,0
92,600,2,1.202,0,0.29,1.151,26,0
93,100,4,0.8,0,0.26,2.263,26,0
94,100,3,1.1,0,0.23,4.077,40,0
95,100,3,1.2,0,0.31,2.487,29,0
96,50,2,1.1,0,0.23,3.524,27,0
97,50,2,1.1,0,0.25,1.151,26,0
98,50,4,1.2,0,0.32,2.263,20,0
99,50,4,1.1,0,0.19,5.843,22,0
100,50,4,1.1,0,0.35,0.143,22,0
101,50,4,1.2,0,0.24,25.714,26,0
102,150,4,1.1,0,0.17,14.2,26,0
103,150,4,1.1,0,0.23,13.3,26,0
104,150,4,0.5,0,0.32,1.4,26,0
105,300,0,1.3,0,0.27,8.597,22,0
106,300,0,1.4,0,0.16,10.03,29,0
107,100,0,1.4,0,0.22,27.322,18,0
108,100,0,1.4,1,0.19,64.647,22,0
109,100,1,1.4,0,0.31,61.644,20,0
110,150,1,0.8,0,0.28,50.336,20,0
111,200,1,0.8,0,0.29,4.57,20,0
112,200,1,1.3,0,0.29,1.737,20,0
113,200,1,0.8,0,0.26,8.148,20,0
114,200,1,0.801,0,0.23,2.253,20,0
115,200,1,0.802,0,0.31,5.802,20,0
116,200,1,0.803,0,0.23,2.352,20,0
117,200,1,0.805,1,0.32,1.215,20,0
118,200,1,0.806,0,0.19,5.843,20,0
119,200,1,0.807,0,0.35,0.143,20,0
120,200,6,1.7,0,0.31,5.294,16,0
121,200,6,1.9,0,0.22,3.401,14,0
122,200,6,1.9,0,0.28,2.088,14,0
123,200,6,1.8,0,0.29,1.654,14,0
124,400,5,0.5,0,0.25,3.318,7,0
125,100,0,1.2,0,0.32,128.076,27,0
126,200,0,0.8,0,0.19,33.741,18,0
127,200,0,0.8,0,0.35,1.007,18,0
128,200,0,0.8,0,0.24,48.047,25,0
129,100,0,0.8,0,0.17,78.826,25,0
130,300,0,1.3,0,0.29,8.597,22,0
131,300,0,1.4,0,0.26,10.03,29,0
132,100,0,1.4,0,0.23,27.322,18,0
133,100,0,1.4,1,0.32,64.647,22,0
134,100,1,1.4,0,0.16,61.644,20,0
135,150,1,0.8,0,0.19,50.336,20,0
136,200,1,0.8,0,0.21,4.57,20,0
137,200,1,1.3,0,0.31,1.737,20,0
138,200,1,0.8,0,0.22,8.148,20,0
139,200,1,0.801,0,0.28,2.253,20,0
140,200,1,0.802,0,0.29,5.802,20,0
141,200,1,0.803,0,0.23,2.352,20,0
142,200,1,0.805,1,0.23,1.215,20,0
143,200,1,0.806,0,0.25,5.843,20,0
144,200,1,0.807,0,0.32,0.143,20,0
145,200,0,1.6,0,0.23,9.585,27,0
146,200,0,1.7,0,0.32,2.495,26,0
147,200,0,1.3,1,0.27,0.74,26,0
148,200,0,1.2,1,0.16,6.861,26,0
149,200,0,1.2,0,0.22,1.403,26,0
150,100,0,1.4,0,0.31,63.515,26,0
151,300,0,1.0,0,0.22,4.198,26,0
152,100,0,1.4,0,0.28,1.753,26,0
153,100,0,1.2,0,0.29,128.076,27,0
154,200,0,0.8,0,0.29,33.741,18,0
155,200,0,0.8,0,0.26,1.007,18,0
156,200,0,0.8,0,0.19,48.047,25,0
157,100,0,0.8,0,0.24,78.826,25,0
158,300,0,1.3,0,0.27,8.597,22,0
159,300,0,1.4,0,0.29,10.03,29,0
160,100,0,1.4,0,0.26,27.322,18,0
161,100,0,1.4,1,0.23,64.647,22,0
162,100,1,1.4,0,0.27,61.644,20,0
163,150,1,0.8,0,0.23,50.336,20,0
164,200,1,0.8,0,0.32,4.57,20,0
165,200,1,1.3,0,0.27,1.737,20,0
166,200,1,0.8,0,0.16,8.148,20,0
167,200,1,0.801,0,0.22,2.253,20,0
168,200,1,0.802,0,0.19,5.802,20,0
169,200,1,0.803,0,0.25,2.352,20,0
170,200,1,0.805,1,0.22,1.215,20,0
171,200,1,0.806,0,0.28,5.843,20,0
172,200,1,0.807,0,0.29,0.143,20,0
173,200,6,1.7,0,0.26,5.294,16,0
174,200,6,1.9,0,0.31,3.401,14,0
175,200,6,1.9,0,0.22,2.088,14,0
176,200,6,1.8,0,0.18,1.654,14,0
177,400,5,0.5,0,0.17,3.318,7,0
178,600,5,0.8,0,0.23,0.865,25,0
179,600,3,1.1,0,0.24,4.077,40,0
180,600,3,1.2,0,0.23,2.487,29,0
181,600,2,1.201,0,0.19,3.524,27,0
182,600,2,1.202,0,0.36,1.151,26,0
183,600,4,0.8,0,0.25,2.263,26,0
184,600,2,0.4,0,0.19,6.309,14,0
185,500,2,0.5,0,0.31,1.331,14,0
186,500,2,0.4,0,0.19,1.281,23,0
187,500,2,0.3,0,0.15,4.809,18,0
188,500,2,0.4,0,0.19,1.436,18,0
189,500,0,1.1,0,0.33,1.005,25,0
190,100,0,1.4,0,0.32,63.515,26,0
191,300,0,1.0,0,0.38,4.198,26,0
192,100,0,1.4,0,0.24,1.753,26,0
193,100,0,1.2,0,0.25,128.076,27,0
194,200,0,0.8,0,0.24,33.741,18,0
195,200,0,0.8,0,0.23,1.007,18,0
196,200,0,0.8,0,0.29,48.047,25,0
197,100,0,0.8,0,0.36,78.826,25,0
198,300,0,1.3,0,0.25,8.597,22,0
199,300,0,1.4,0,0.19,10.03,29,0
200,100,0,1.4,0,0.22,27.322,18,0
201,100,0,1.4,1,0.31,64.647,22,0
202,100,1,1.4,0,0.15,61.644,20,0
203,150,1,0.8,0,0.32,50.336,20,0
204,200,1,0.8,0,0.33,4.57,20,0
205,200,1,1.3,0,0.31,1.737,20,0
206,200,1,0.8,0,0.22,8.148,20,0
207,200,1,0.801,0,0.28,2.253,20,0
208,200,1,0.802,0,0.29,5.802,20,0
209,200,1,0.803,0,0.29,2.352,20,0
210,200,1,0.805,1,0.21,1.215,20,0
211,200,1,0.806,0,0.29,5.843,20,0
212,200,1,0.807,0,0.26,0.143,20,0
213,200,6,1.7,0,0.22,5.294,16,0
214,200,6,1.9,0,0.28,3.401,14,0
215,200,6,1.9,0,0.39,2.088,14,0
216,200,6,1.8,0,0.22,1.654,14,0
217,400,5,0.5,0,0.36,3.318,7,0
218,600,5,0.8,0,0.22,0.865,25,0
219,600,3,1.1,0,0.21,4.077,40,0
220,600,3,1.2,0,0.19,2.487,29,0
221,600,2,1.201,0,0.25,3.524,27,0
222,600,2,1.202,0,0.29,1.151,26,0
223,600,4,0.8,0,0.32,2.263,26,0
224,600,2,0.4,0,0.33,6.309,14,0
225,500,2,0.5,0,0.32,1.331,14,0
226,500,2,0.4,0,0.38,1.281,23,0
227,500,2,0.3,0,0.24,4.809,18,0
228,500,2,0.4,0,0.25,1.436,18,0
229,500,0,1.1,0,0.23,1.005,25,0
230,500,0,1.2,1,0.31,1.427,29,0
231,600,0,1.1,0,0.29,1.436,29,0
232,50,2,1.2,0,0.23,2.132,26,0
233,50,2,1.1,1,0.22,1.143,26,0
234,50,2,1.1,0,0.37,1.124,14,0
235,50,2,1.2,0,0.16,0.937,23,0
236,50,2,1.1,0,0.22,0.667,18,0
237,50,2,0.5,0,0.29,0.951,18,0
238,50,2,1.4,0,0.23,1.291,18,0
239,50,2,0.4,0,0.21,0.325,18,0
240,100,1,1.803,0,0.28,2.352,20,0
241,200,1,0.806,0,0.26,5.843,20,0
242,200,1,0.807,0,0.19,0.143,20,0
243,200,6,0.808,0,0.34,25.714,24,0
244,200,6,0.5,1,0.27,14.2,22,0
245,200,6,1.3,0,0.26,5.843,37,0
246,100,6,1.2,0,0.23,13.3,27,0
247,200,6,1.1,0,0.34,6.679,24,0
248,200,6,1.2,0,0.23,2.122,25,0
249,200,5,0.9,0,0.26,0.65,36,0
250,100,6,1.7,0,0.32,5.294,16,0
251,300,6,1.9,0,0.16,3.401,14,0
252,400,6,1.9,0,0.22,2.088,14,0
253,100,3,1.1,0,0.19,4.077,40,0
254,200,3,1.2,0,0.24,2.487,29,0
255,200,2,1.201,0,0.31,3.524,27,0
256,200,2,1.202,0,0.22,1.151,26,0
257,150,4,1.1,0,0.29,4.077,24,0
258,150,4,1.201,0,0.26,3.524,21,0
259,150,4,1.202,0,0.33,1.151,21,0
260,200,4,0.8,0,0.21,2.263,21,0
261,200,3,1.1,0,0.33,4.077,40,0
262,200,3,1.2,0,0.35,2.487,29,0
263,600,2,1.201,0,0.32,3.524,27,0
264,600,2,1.202,0,0.29,1.151,26,0
265,100,4,0.8,0,0.25,2.263,26,0
266,100,3,1.1,0,0.24,4.077,40,0
267,100,3,1.2,0,0.27,2.487,29,0
268,50,2,1.1,0,0.19,3.524,27,0
269,50,2,1.1,0,0.26,1.151,26,0
270,50,4,1.2,0,0.33,2.263,20,0
271,50,4,1.1,0,0.32,5.843,22,0
272,50,4,1.1,0,0.37,0.143,22,0
273,50,4,1.2,0,0.25,25.714,26,0
274,150,4,1.1,0,0.34,14.2,26,0
275,150,4,1.1,0,0.32,13.3,26,0
276,150,4,0.5,0,0.19,1.4,26,0
277,300,0,1.3,0,0.35,8.597,22,0
278,300,0,1.4,0,0.24,10.03,29,0
279,100,0,1.4,0,0.17,27.322,18,0
280,100,0,1.4,1,0.29,64.647,22,0
281,100,1,1.4,0,0.23,61.644,20,0
282,150,1,0.8,0,0.34,50.336,20,0
283,200,1,0.8,0,0.26,4.57,20,0
284,100,1,1.0,1,0.31,82.457,28,0
285,100,1,1.4,0,0.22,61.644,20,0
286,100,1,1.2,1,0.28,1.74,20,0
287,150,1,0.8,0,0.29,50.336,20,0
288,200,1,0.8,0,0.29,4.57,20,0
289,200,1,1.3,0,0.26,1.737,20,0
290,200,1,0.8,0,0.19,8.148,20,0
291,200,1,0.801,0,0.24,2.253,20,0
292,200,1,0.802,0,0.27,5.802,20,0
293,200,1,0.803,0,0.29,2.352,20,0
294,200,1,0.804,1,0.26,72.041,30,0
295,200,1,0.805,1,0.33,1.215,20,0
296,200,1,0.806,0,0.26,5.843,20,0
297,200,1,0.807,0,0.31,0.143,20,0
298,200,1,0.808,0,0.31,0.144,20,0
299,200,1,0.801,0,0.28,2.253,20,0
300,200,1,0.802,0,0.29,5.802,20,0
301,200,1,0.903,0,0.23,2.352,20,0
302,200,1,0.805,1,0.23,1.215,20,0
303,200,1,0.806,0,0.25,5.843,20,0
304,200,0,1.6,0,0.23,9.585,27,0
305,200,0,1.7,0,0.32,2.495,26,0
306,200,0,1.3,1,0.27,0.74,26,0
307,200,0,1.2,1,0.16,6.861,26,0
308,200,0,1.2,0,0.22,1.403,26,0
309,100,0,1.4,0,0.31,63.515,26,0
310,300,0,1.0,0,0.22,4.198,26,0
311,100,0,1.4,0,0.28,1.753,26,0
312,100,0,1.2,0,0.29,128.076,27,0
313,200,0,0.8,0,0.29,33.741,18,0
314,200,0,0.8,0,0.26,1.007,18,0
315,200,0,0.8,0,0.19,48.047,25,0
316,100,0,0.8,0,0.24,78.826,25,0
317,300,0,1.3,0,0.27,8.597,22,0
318,300,0,1.4,0,0.29,10.03,29,0
319,100,0,1.4,0,0.26,27.322,18,0
320,100,0,1.4,1,0.23,64.647,22,0
321,100,1,1.4,0,0.27,61.644,20,0
322,150,1,0.8,0,0.23,50.336,20,0
323,200,1,0.8,0,0.32,4.57,20,0
324,200,1,1.3,0,0.27,1.737,20,0
325,200,1,0.9,0,0.16,8.148,20,0
326,200,1,0.801,0,0.22,2.253,20,0
327,200,1,0.802,0,0.19,5.802,20,0
328,200,1,0.803,0,0.25,2.352,20,0
329,200,1,0.803,1,0.22,1.215,20,0
330,200,1,0.806,0,0.28,5.843,20,0
331,200,1,0.507,0,0.29,0.143,20,0
332,200,6,0.5,0,0.31,0.62,37,0
333,200,6,1.1,0,0.29,5.843,40,0
334,200,6,1.7,0,0.26,5.294,16,0
335,200,6,1.9,0,0.31,3.401,14,0
336,200,1,0.802,0,0.31,5.802,20,0
337,200,1,0.803,0,0.23,2.352,20,0
338,200,1,0.805,1,0.32,1.215,20,0
339,200,1,0.806,0,0.19,5.843,20,0
340,200,1,0.807,0,0.35,0.143,20,0
341,200,6,1.7,0,0.31,5.294,16,0
342,200,6,1.9,0,0.22,3.401,14,0
343,200,6,1.9,0,0.28,2.088,14,0
344,200,6,1.8,0,0.29,1.654,14,0
345,200,2,1.3,0,0.32,2.773,22,0
346,200,2,0.4,0,0.19,11.464,15,0
347,200,2,1.2,0,0.24,10.287,16,0
348,200,2,0.8,0,0.17,13.247,16,0
349,200,2,0.8,0,0.29,5.122,15,0
350,200,1,0.8,0,0.26,11.511,15,0
351,200,1,1.2,1,0.34,6.861,26,0
352,200,1,1.2,0,0.26,3.524,29,0
353,200,1,1.3,0,0.22,3.327,30,0
354,200,0,1.2,0,0.22,4.541,26,0
355,200,0,1.2,0,0.29,3.13,29,0
356,200,0,1.6,0,0.3,9.585,27,0
357,200,0,1.7,0,0.29,2.495,26,0
358,200,0,1.3,1,0.26,0.74,26,0
359,200,0,1.2,1,0.23,6.861,26,0
360,200,0,1.2,0,0.25,1.403,26,0
361,550,0,1.7,1,0.26,55.947,27,0
362,100,0,1.4,0,0.25,63.515,26,0
363,300,0,1.0,0,0.32,4.198,26,0
364,100,0,1.4,0,0.19,1.753,26,0
365,100,0,1.2,0,0.35,128.076,27,0
366,200,0,0.8,0,0.24,33.741,18,0
367,200,0,0.8,0,0.17,1.007,18,0
368,200,0,0.8,0,0.29,48.047,25,0
369,100,0,0.8,0,0.26,78.826,25,0
370,300,0,1.3,0,0.23,8.597,22,0
371,300,0,1.4,0,0.25,10.03,29,0
372,100,0,1.4,0,0.34,27.322,18,0
373,100,0,1.4,1,0.26,64.647,22,0
374,100,1,1.4,0,0.22,61.644,20,0
375,150,1,0.8,0,0.29,50.336,20,0
376,200,1,0.8,0,0.3,4.57,20,0
377,200,1,1.3,0,0.29,1.737,20,0
378,200,1,0.8,0,0.26,8.148,20,0
379,200,1,0.801,0,0.23,2.253,20,0
380,200,1,0.802,0,0.25,5.802,20,0
381,200,1,0.803,0,0.32,2.352,20,0
382,200,1,0.805,1,0.35,1.215,20,0
383,200,1,0.807,0,0.17,0.143,20,0
384,200,6,1.7,0,0.29,5.294,16,0
385,200,6,1.9,0,0.26,3.401,14,0
386,200,6,1.9,0,0.23,2.088,14,0
387,200,6,1.8,0,0.25,1.654,14,0
388,400,5,0.5,0,0.29,3.318,7,0
389,600,5,0.8,0,0.25,0.865,25,0
390,600,3,1.1,0,0.34,4.077,40,0
391,600,3,1.2,1,0.26,2.487,29,0
392,600,2,1.201,0,0.22,3.524,27,0
393,600,2,1.202,0,0.22,1.151,26,0
394,600,4,0.8,0,0.31,2.263,26,0
395,600,2,0.4,0,0.29,6.309,14,0
396,500,2,0.5,0,0.29,1.331,14,0
397,500,2,0.4,0,0.26,1.281,23,0
398,500,2,0.3,0,0.23,4.809,18,0
399,500,2,0.4,0,0.25,1.436,18,0
400,500,0,1.1,0,0.19,1.005,25,0
401,500,0,1.2,1,0.24,1.427,29,0
402,600,0,1.1,0,0.17,1.436,29,0
403,50,2,1.2,0,0.26,2.132,26,0
404,50,2,1.1,1,0.23,1.143,26,0
405,50,2,1.1,0,0.25,1.124,14,0
406,50,2,1.2,0,0.34,0.937,23,0
407,50,2,1.1,0,0.26,0.667,18,0
408,50,2,0.5,0,0.22,0.951,18,0
409,50,2,1.4,0,0.22,1.291,18,0
410,50,2,0.4,0,0.31,0.325,18,0
411,100,1,1.803,0,0.3,2.352,20,0
412,200,1,0.806,0,0.23,5.843,20,0
413,200,1,0.807,0,0.31,0.143,20,0
414,200,6,0.808,0,0.23,25.714,24,0
415,200,6,0.5,1,0.25,14.2,22,0
416,200,6,1.3,0,0.19,5.843,37,0
